,addr_mask,chksum,code,gw,id,len,ptr,reserved,seq,time,ts_ori,ts_rx,ts_tx,type,unused
107,,,,,,1514,,,,1488942605.699177,,,,,
108,,,,,,1514,,,,1488942605.699179,,,,,
109,,,,,,242,,,,1488942605.69918,,,,,
110,,52083.0,0.0,,17631.0,1514,,,4.0,1488942605.699215,,,,0.0,
111,,,,,,1514,,,,1488942605.699225,,,,,
112,,,,,,1514,,,,1488942605.699227,,,,,
113,,,,,,1514,,,,1488942605.699228,,,,,
114,,,,,,1514,,,,1488942605.699229,,,,,
115,,,,,,1514,,,,1488942605.69923,,,,,
116,,,,,,1514,,,,1488942605.699231,,,,,
117,,,,,,1514,,,,1488942605.699232,,,,,
118,,,,,,1514,,,,1488942605.699233,,,,,
119,,,,,,1514,,,,1488942605.699234,,,,,
120,,,,,,242,,,,1488942605.699236,,,,,
121,,63508.0,0.0,,17631.0,1514,,,5.0,1488942606.723076,,,,8.0,
122,,,,,,1514,,,,1488942606.723092,,,,,
123,,,,,,1514,,,,1488942606.723094,,,,,
124,,,,,,1514,,,,1488942606.723098,,,,,
125,,,,,,1514,,,,1488942606.723101,,,,,
126,,,,,,1514,,,,1488942606.723104,,,,,
127,,,,,,1514,,,,1488942606.723107,,,,,
128,,,,,,1514,,,,1488942606.723142,,,,,
129,,,,,,1514,,,,1488942606.723146,,,,,
130,,,,,,1514,,,,1488942606.723148,,,,,
131,,,,,,242,,,,1488942606.72315,,,,,
132,,21.0,0.0,,17631.0,1514,,,5.0,1488942606.723183,,,,0.0,
133,,,,,,1514,,,,1488942606.723193,,,,,
134,,,,,,1514,,,,1488942606.723195,,,,,
135,,,,,,1514,,,,1488942606.723196,,,,,
136,,,,,,1514,,,,1488942606.723197,,,,,
137,,,,,,1514,,,,1488942606.723198,,,,,
138,,,,,,1514,,,,1488942606.7232,,,,,
139,,,,,,1514,,,,1488942606.723201,,,,,
140,,,,,,1514,,,,1488942606.723202,,,,,
141,,,,,,1514,,,,1488942606.723203,,,,,
142,,,,,,242,,,,1488942606.723204,,,,,
143,,16054.0,0.0,,17631.0,1514,,,6.0,1488942607.747013,,,,8.0,
144,,,,,,1514,,,,1488942607.747028,,,,,
145,,,,,,1514,,,,1488942607.747048,,,,,
146,,,,,,1514,,,,1488942607.747052,,,,,
147,,,,,,1514,,,,1488942607.74706,,,,,
148,,,,,,1514,,,,1488942607.747062,,,,,
149,,,,,,1514,,,,1488942607.747102,,,,,
150,,,,,,1514,,,,1488942607.747105,,,,,
151,,,,,,1514,,,,1488942607.747108,,,,,
152,,,,,,1514,,,,1488942607.74711,,,,,
153,,,,,,242,,,,1488942607.747112,,,,,
154,,18102.0,0.0,,17631.0,1514,,,6.0,1488942607.747151,,,,0.0,
155,,,,,,1514,,,,1488942607.747162,,,,,
156,,,,,,1514,,,,1488942607.747164,,,,,
157,,,,,,1514,,,,1488942607.747165,,,,,
158,,,,,,1514,,,,1488942607.747166,,,,,
159,,,,,,1514,,,,1488942607.747167,,,,,
160,,,,,,1514,,,,1488942607.747168,,,,,
161,,,,,,1514,,,,1488942607.747169,,,,,
162,,,,,,1514,,,,1488942607.74717,,,,,
163,,,,,,1514,,,,1488942607.747172,,,,,
164,,,,,,242,,,,1488942607.747173,,,,,
165,,31575.0,0.0,,17631.0,1514,,,7.0,1488942608.770996,,,,8.0,
166,,,,,,1514,,,,1488942608.771019,,,,,
167,,,,,,1514,,,,1488942608.771022,,,,,
168,,,,,,1514,,,,1488942608.771024,,,,,
169,,,,,,1514,,,,1488942608.771025,,,,,
170,,,,,,1514,,,,1488942608.771028,,,,,
171,,,,,,1514,,,,1488942608.77103,,,,,
172,,,,,,1514,,,,1488942608.771032,,,,,
173,,,,,,1514,,,,1488942608.771034,,,,,
174,,,,,,1514,,,,1488942608.771036,,,,,
175,,,,,,242,,,,1488942608.771037,,,,,
176,,33623.0,0.0,,17631.0,1514,,,7.0,1488942608.77107,,,,0.0,
177,,,,,,1514,,,,1488942608.771084,,,,,
178,,,,,,1514,,,,1488942608.771085,,,,,
179,,,,,,1514,,,,1488942608.771086,,,,,
180,,,,,,1514,,,,1488942608.771087,,,,,
181,,,,,,1514,,,,1488942608.771089,,,,,
182,,,,,,1514,,,,1488942608.77109,,,,,
183,,,,,,1514,,,,1488942608.771091,,,,,
184,,,,,,1514,,,,1488942608.771092,,,,,
185,,,,,,1514,,,,1488942608.771093,,,,,
186,,,,,,242,,,,1488942608.771094,,,,,
187,,47352.0,0.0,,17631.0,1514,,,8.0,1488942609.794989,,,,8.0,
188,,,,,,1514,,,,1488942609.795004,,,,,
189,,,,,,1514,,,,1488942609.795007,,,,,
190,,,,,,1514,,,,1488942609.795011,,,,,
191,,,,,,1514,,,,1488942609.795013,,,,,
192,,,,,,1514,,,,1488942609.795016,,,,,
193,,,,,,1514,,,,1488942609.795043,,,,,
194,,,,,,1514,,,,1488942609.795046,,,,,
195,,,,,,1514,,,,1488942609.795048,,,,,
196,,,,,,1514,,,,1488942609.795049,,,,,
197,,,,,,242,,,,1488942609.795051,,,,,
198,,49400.0,0.0,,17631.0,1514,,,8.0,1488942609.795084,,,,0.0,
199,,,,,,1514,,,,1488942609.795096,,,,,
200,,,,,,1514,,,,1488942609.795097,,,,,
201,,,,,,1514,,,,1488942609.795099,,,,,
202,,,,,,1514,,,,1488942609.7951,,,,,
203,,,,,,1514,,,,1488942609.795101,,,,,
204,,,,,,1514,,,,1488942609.795102,,,,,
205,,,,,,1514,,,,1488942609.795103,,,,,
206,,,,,,1514,,,,1488942609.795104,,,,,
207,,,,,,1514,,,,1488942609.795105,,,,,
208,,,,,,242,,,,1488942609.795106,,,,,
209,,59033.0,0.0,,17631.0,1514,,,9.0,1488942610.818949,,,,8.0,
210,,,,,,1514,,,,1488942610.818968,,,,,
211,,,,,,1514,,,,1488942610.818972,,,,,
212,,,,,,1514,,,,1488942610.818975,,,,,
213,,,,,,1514,,,,1488942610.818982,,,,,
214,,,,,,1514,,,,1488942610.818984,,,,,
215,,,,,,1514,,,,1488942610.819013,,,,,
216,,,,,,1514,,,,1488942610.819017,,,,,
217,,,,,,1514,,,,1488942610.819024,,,,,
218,,,,,,1514,,,,1488942610.819026,,,,,
219,,,,,,242,,,,1488942610.819029,,,,,
220,,61081.0,0.0,,17631.0,1514,,,9.0,1488942610.819073,,,,0.0,
221,,,,,,1514,,,,1488942610.819083,,,,,
222,,,,,,1514,,,,1488942610.819085,,,,,
223,,,,,,1514,,,,1488942610.819086,,,,,
224,,,,,,1514,,,,1488942610.819087,,,,,
225,,,,,,1514,,,,1488942610.819088,,,,,
226,,,,,,1514,,,,1488942610.819089,,,,,
227,,,,,,1514,,,,1488942610.81909,,,,,
228,,,,,,1514,,,,1488942610.819091,,,,,
229,,,,,,1514,,,,1488942610.819092,,,,,
230,,,,,,242,,,,1488942610.819093,,,,,
231,,11835.0,0.0,,17631.0,1514,,,10.0,1488942611.842908,,,,8.0,
232,,,,,,1514,,,,1488942611.842926,,,,,
233,,,,,,1514,,,,1488942611.842929,,,,,
