,ethDst,ethSrc,ipv4Dst,ipv4Flg,ipv4Frg,ipv4Ihl,ipv4Len,ipv4Pro,ipv4Src,ipv4TTL,ipv4Tos,len,time
43,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,1850,5,228,1,192.168.238.229,64,0,242,1488942602.625734
44,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942602.625779
45,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,185,5,1500,1,192.168.238.50,64,0,1514,1488942602.625813
46,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,370,5,1500,1,192.168.238.50,64,0,1514,1488942602.625827
47,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,555,5,1500,1,192.168.238.50,64,0,1514,1488942602.625838
48,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,740,5,1500,1,192.168.238.50,64,0,1514,1488942602.625849
49,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,925,5,1500,1,192.168.238.50,64,0,1514,1488942602.625866
50,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1110,5,1500,1,192.168.238.50,64,0,1514,1488942602.625878
51,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1295,5,1500,1,192.168.238.50,64,0,1514,1488942602.625889
52,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1480,5,1500,1,192.168.238.50,64,0,1514,1488942602.6259
53,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1665,5,1500,1,192.168.238.50,64,0,1514,1488942602.625915
54,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,0,1850,5,228,1,192.168.238.50,64,0,242,1488942602.625927
55,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942603.651192
56,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,185,5,1500,1,192.168.238.229,64,0,1514,1488942603.651214
57,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,370,5,1500,1,192.168.238.229,64,0,1514,1488942603.651217
58,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,555,5,1500,1,192.168.238.229,64,0,1514,1488942603.651219
59,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,740,5,1500,1,192.168.238.229,64,0,1514,1488942603.651222
60,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,925,5,1500,1,192.168.238.229,64,0,1514,1488942603.651224
61,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1110,5,1500,1,192.168.238.229,64,0,1514,1488942603.651234
62,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1295,5,1500,1,192.168.238.229,64,0,1514,1488942603.651237
63,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1480,5,1500,1,192.168.238.229,64,0,1514,1488942603.651247
64,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1665,5,1500,1,192.168.238.229,64,0,1514,1488942603.651249
65,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,1850,5,228,1,192.168.238.229,64,0,242,1488942603.651251
66,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942603.651285
67,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,185,5,1500,1,192.168.238.50,64,0,1514,1488942603.651301
68,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,370,5,1500,1,192.168.238.50,64,0,1514,1488942603.651303
69,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,555,5,1500,1,192.168.238.50,64,0,1514,1488942603.651304
70,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,740,5,1500,1,192.168.238.50,64,0,1514,1488942603.651305
71,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,925,5,1500,1,192.168.238.50,64,0,1514,1488942603.651306
72,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1110,5,1500,1,192.168.238.50,64,0,1514,1488942603.651307
73,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1295,5,1500,1,192.168.238.50,64,0,1514,1488942603.651308
74,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1480,5,1500,1,192.168.238.50,64,0,1514,1488942603.65131
75,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1665,5,1500,1,192.168.238.50,64,0,1514,1488942603.651311
76,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,0,1850,5,228,1,192.168.238.50,64,0,242,1488942603.651312
77,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942604.675131
78,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,185,5,1500,1,192.168.238.229,64,0,1514,1488942604.675144
79,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,370,5,1500,1,192.168.238.229,64,0,1514,1488942604.675158
80,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,555,5,1500,1,192.168.238.229,64,0,1514,1488942604.67516
81,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,740,5,1500,1,192.168.238.229,64,0,1514,1488942604.675162
82,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,925,5,1500,1,192.168.238.229,64,0,1514,1488942604.675164
83,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1110,5,1500,1,192.168.238.229,64,0,1514,1488942604.675223
84,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1295,5,1500,1,192.168.238.229,64,0,1514,1488942604.675228
85,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1480,5,1500,1,192.168.238.229,64,0,1514,1488942604.67523
86,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1665,5,1500,1,192.168.238.229,64,0,1514,1488942604.675231
87,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,1850,5,228,1,192.168.238.229,64,0,242,1488942604.675233
88,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942604.675268
89,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,185,5,1500,1,192.168.238.50,64,0,1514,1488942604.675279
90,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,370,5,1500,1,192.168.238.50,64,0,1514,1488942604.675281
91,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,555,5,1500,1,192.168.238.50,64,0,1514,1488942604.675282
92,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,740,5,1500,1,192.168.238.50,64,0,1514,1488942604.675283
93,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,925,5,1500,1,192.168.238.50,64,0,1514,1488942604.675284
94,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1110,5,1500,1,192.168.238.50,64,0,1514,1488942604.675285
